name,unit,category,short_desc,extra_desc,context,vartype,min_val,max_val,enumvals,boot_val,reset_val
allow_system_table_mods,,Developer Options,Allows modifications of the structure of system tables.,,postmaster,bool,,,,off,off
application_name,,Reporting and Logging / What to Log,Sets the application name to be reported in statistics and logs.,,user,string,,,,"",psql
archive_command,,Write-Ahead Log / Archiving,Sets the shell command that will be called to archive a WAL file.,,sighup,string,,,,"",""
archive_mode,,Write-Ahead Log / Archiving,Allows archiving of WAL files using archive_command.,,postmaster,enum,,,"{always,on,off}",off,off
archive_timeout,s,Write-Ahead Log / Archiving,Forces a switch to the next xlog file if a new file has not been started within N seconds.,,sighup,integer,0,1073741823,,0,0
array_nulls,,Version and Platform Compatibility / Previous PostgreSQL Versions,Enable input of NULL elements in arrays.,"When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.",user,bool,,,,on,on
authentication_timeout,s,Connections and Authentication / Security and Authentication,Sets the maximum allowed time to complete client authentication.,,sighup,integer,1,600,,60,60
autovacuum,,Autovacuum,Starts the autovacuum subprocess.,,sighup,bool,,,,on,on
autovacuum_analyze_scale_factor,,Autovacuum,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",,sighup,real,0,100,,0.1,0.1
autovacuum_analyze_threshold,,Autovacuum,"Minimum number of tuple inserts, updates, or deletes prior to analyze.",,sighup,integer,0,2147483647,,50,50
autovacuum_freeze_max_age,,Autovacuum,Age at which to autovacuum a table to prevent transaction ID wraparound.,,postmaster,integer,100000,2000000000,,200000000,200000000
autovacuum_max_workers,,Autovacuum,Sets the maximum number of simultaneously running autovacuum worker processes.,,postmaster,integer,1,8388607,,3,3
autovacuum_multixact_freeze_max_age,,Autovacuum,Multixact age at which to autovacuum a table to prevent multixact wraparound.,,postmaster,integer,10000,2000000000,,400000000,400000000
autovacuum_naptime,s,Autovacuum,Time to sleep between autovacuum runs.,,sighup,integer,1,2147483,,60,60
autovacuum_vacuum_cost_delay,ms,Autovacuum,"Vacuum cost delay in milliseconds, for autovacuum.",,sighup,integer,-1,100,,20,20
autovacuum_vacuum_cost_limit,,Autovacuum,"Vacuum cost amount available before napping, for autovacuum.",,sighup,integer,-1,10000,,-1,-1
autovacuum_vacuum_scale_factor,,Autovacuum,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,,sighup,real,0,100,,0.2,0.2
autovacuum_vacuum_threshold,,Autovacuum,Minimum number of tuple updates or deletes prior to vacuum.,,sighup,integer,0,2147483647,,50,50
autovacuum_work_mem,kB,Resource Usage / Memory,Sets the maximum memory to be used by each autovacuum worker process.,,sighup,integer,-1,2147483647,,-1,-1
backslash_quote,,Version and Platform Compatibility / Previous PostgreSQL Versions,"Sets whether ""\'"" is allowed in string literals.",,user,enum,,,"{safe_encoding,on,off}",safe_encoding,safe_encoding
bgwriter_delay,ms,Resource Usage / Background Writer,Background writer sleep time between rounds.,,sighup,integer,10,10000,,200,200
